video_id,true_label,tracking_quality,feedback_flag,tube_visible_fraction,vocal_cords_visible_fraction,epiglottis_visible_fraction,esophagus_visible_fraction,tube_to_vocal_cords_near_fraction,tube_to_vocal_cords_min_distance,tube_to_esophagus_near_fraction,tube_to_esophagus_min_distance,tube_motion_max_step,feedback_reasons
47.MG,1,0.29515418502202645,limited_anatomy_evidence,0.011013215859030838,0.29515418502202645,0.0,0.0,0.0,1.0,0.0,1.0,0.015475911296038395,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
48.RG,1,0.43410852713178294,uncertain_alignment,0.07364341085271318,0.43410852713178294,0.0,0.0,0.0,0.4398489045993911,0.0,1.0,0.024257454800003988,ET tube visible in 7.4% of indexed frames | vocal cords visible but tube does not clearly approach them
49.RG,1,0.28285714285714286,limited_anatomy_evidence,0.02,0.28285714285714286,0.0,0.0,0.0,1.0,0.0,1.0,0.00840031583402422,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
5.MG,1,0.11772950245269796,limited_anatomy_evidence,0.0,0.11772950245269796,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
50.RG,1,0.5010351966873706,limited_anatomy_evidence,0.002070393374741201,0.5010351966873706,0.0,0.0,0.0,0.4989555831137158,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
51.RG,1,0.39768339768339767,uncertain_alignment,0.12355212355212356,0.39768339768339767,0.0,0.0,0.0,0.22995224916197882,0.0,1.0,0.05772773671767083,ET tube visible in 12.4% of indexed frames | vocal cords visible but tube does not clearly approach them
52.MG,1,0.4925,limited_anatomy_evidence,0.0,0.4925,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
53.RB,0,0.0017467248908296944,limited_anatomy_evidence,0.0017467248908296944,0.0008733624454148472,0.0,0.0,0.0,1.0,0.0,1.0,0.004881905828407164,ET tube rarely visible | vocal cords rarely visible
54.MG,1,0.44642857142857145,limited_anatomy_evidence,0.017857142857142856,0.44642857142857145,0.0,0.0,0.0,1.0,0.0,1.0,0.008556964602039389,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
6.RG,1,0.225201072386059,limited_anatomy_evidence,0.0,0.225201072386059,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
7.LB,0,0.04962962962962963,limited_anatomy_evidence,0.0,0.04962962962962963,0.0,0.0,0.0,1.0,0.0,1.0,0.0,ET tube rarely visible | vocal cords rarely visible
8.MB,0,0.05155420773313116,limited_anatomy_evidence,0.002274450341167551,0.05155420773313116,0.0,0.0,0.0,1.0,0.0,1.0,0.020464852147233828,ET tube rarely visible | vocal cords visible but tube does not clearly approach them
